#Created by Handy SDK v2
66,0
1818,83
19465,84
5253324,2
5489152,3
5781227,6
5822424,67
5829563,42
5838269,40
5890382,54
6086992,58
6213080,10
6359250,18
6359250,34
6822095,66
7002839,59
7010510,78
7067333,16
7079610,9
7082998,82
7137489,72
7137490,60
7137493,36
7137493,48
7140558,24
7200829,80
7264983,47
7344888,12
7459567,7
7527127,71
7531232,63
7591668,8
7608054,62
7608276,77
7665874,30
7670988,17
7722717,23
7736524,81
7792596,29
7866094,37
7866584,49
7869663,26
7875788,65
7876077,41
7979351,15
7992821,74
7993048,61
8064242,21
8064753,53
8129722,32
8189916,25
8249952,38
8254404,68
8255188,73
8255448,69
8261087,57
8261113,45
8262372,20
8318431,51
8319933,76
8320217,56
8320223,75
8451828,50
8518134,70
8579544,27
8583905,43
8919238,5
9039076,1
9041654,22
9102563,4
9239263,79
9304512,33
9630941,28
9635556,44
9688800,39
9749090,11
9758651,64
9762008,55
9767366,52
9894330,14
10146544,13
10230005,46
10238423,19
10541783,35
10558703,31
